Id,Lat,Lon
KABR,45.2721,-98.2447
KENX,42.3511,-74.035
KABX,35.0859,-106.4926
KFDR,34.2144,-98.5835
KAMA,35.14,-101.4233
PAHG,60.4333,-151.2105
PGUA,13.2709,-144.4841
KFFC,33.2149,-84.3357
KEWX,29.4214,-98.0142
KBBX,39.2946,-121.3754
PABC,60.4731,-161.5235
KBLX,45.5114,-108.3624
KBGM,42.1159,-75.5905
KBMX,33.102,-86.4611
KBIS,46.4615,-100.4538
KCBX,43.2926,-116.1408
KBOX,41.5721,-71.0813
KBRO,25.5458,-97.2508
KBUF,42.5656,-78.4412
KCXX,44.304,-73.1001
RKSG,36.5721,-127.0116
KFDX,34.3807,-103.3748
KICX,37.3527,-112.5144
KCLX,32.392,-81.0232
KRLX,38.184,-81.4323
KCYS,41.0907,-104.4822
KLOT,41.3617,-88.0505
KILN,39.2513,-83.4918
KCLE,41.2447,-81.5135
KCAE,33.5655,-81.0706
KGWX,33.5348,-88.1944
KCRP,27.4703,-97.304
KFWS,32.3423,-97.1811
KDVN,41.3642,-90.3451
KFTG,39.4712,-104.3245
KDMX,41.4352,-93.4322
KDTX,42.4159,-83.2818
KDDC,37.4539,-99.5808
KDOX,38.4932,-75.2623
KDLH,46.5013,-92.1235
KDYX,32.3218,-99.1516
KEYX,35.0552,-117.3339
KEVX,30.3352,-85.5517
KEPZ,31.5223,-106.4153
KLRX,40.4423,-116.481
KBHX,40.2954,-124.1731
PAPD,65.0206,-147.3006
KFSX,34.3428,-111.1152
KHPX,36.4412,-87.1706
KGRK,30.4319,-97.2259
KPOE,31.092,-92.5833
KEOX,31.2738,-85.2734
KSRX,35.1726,-94.2142
KIWX,41.2132,-85.42
KAPX,44.5426,-84.4311
KGGW,48.1223,-106.373
KGLD,39.2201,-101.4201
KMVX,47.314,-97.1932
KGJX,39.0344,-108.125
KGRR,42.5338,-85.3241
KTFX,47.2735,-111.2307
KGRB,44.2954,-88.0641
KGSP,34.53,-82.1312
KRMX,43.2804,-75.2728
KUEX,40.1915,-98.2631
KHDX,33.0435,-106.0722
KCBW,46.0221,-67.4823
KHGX,29.2819,-95.0445
KHTX,34.555,-86.05
KIND,39.4227,-86.1649
KJKL,37.3527,-83.1847
KJAN,32.1904,-90.0448
KJAX,30.2905,-81.4207
RODN,26.1807,-127.5435
PHKN,20.0732,-155.464
KEAX,38.4837,-94.1552
KBYX,24.3551,-81.4211
PAKC,58.4046,-156.3746
KMRX,36.1007,-83.2406
RKJK,35.5527,-126.372
KARX,43.4922,-91.1128
LPLA,38.4349,-27.1918
KLCH,30.0731,-93.1257
KESX,35.4204,-114.5329
KDFX,29.1622,-100.165
KILX,40.0902,-89.2013
KLZK,34.5011,-92.1544
KVTX,34.2442,-119.1046
KLVX,37.5831,-85.5638
KLBB,33.3915,-101.4851
KMQT,46.3152,-87.3254
KMXX,32.3212,-85.4723
KMAX,42.0452,-122.4302
KMLB,28.0648,-80.3915
KNQA,35.2041,-89.5224
KAMX,25.364,-80.2446
PAIH,59.2741,-146.1811
KMAF,31.5636,-102.1121
KMKX,42.5804,-88.3302
KMPX,44.5056,-93.3356
KMBX,48.2333,-100.5154
KMSX,47.0228,-113.591
KMOB,30.4046,-88.1423
PHMO,21.0758,-157.1048
KVAX,30.2325,-83.0006
KMHX,34.4634,-76.5234
KOHX,36.145,-86.3345
KLIX,30.2012,-89.4932
KOKX,40.5156,-72.515
PAEC,64.3041,-165.1742
KAKQ,36.5902,-77.0026
KLNX,41.5728,-100.3435
KTLX,35.1959,-97.164
KOAX,41.1913,-96.22
KPAH,37.0406,-88.4619
KPDT,45.4126,-118.511
KDIX,39.5649,-74.2439
KIWA,33.1721,-111.4012
KPBZ,40.3154,-80.1305
KSFX,43.0621,-112.411
KGYX,43.5329,-70.1523
KRTX,45.4253,-122.5755
KPUX,38.2734,-104.1053
KRAX,35.3956,-78.2923
KUDX,44.073,-102.4947
KRGX,39.4515,-119.2744
KRIW,43.0358,-108.2838
KFCX,37.0128,-80.1626
KJGX,32.4031,-83.2104
KDAX,38.3004,-121.404
KLSX,38.4156,-90.4058
KMTX,41.1546,-112.2652
KSJT,31.2217,-100.2933
KNKX,32.5508,-117.0231
KMUX,37.0919,-121.5354
KHNX,36.1851,-119.3756
TJUA,18.0656,-66.0441
KSOX,33.4904,-117.3809
KATX,48.114,-122.2945
KSHV,32.2703,-93.5029
KFSD,43.3516,-96.4346
PACG,56.511,-135.3145
PHKI,21.5339,-159.3308
PHWA,19.0542,-155.3408
KOTX,47.4049,-117.3736
KSGF,37.1407,-93.2402
KCCX,40.5523,-78.0013
KLWX,38.5831,-77.284
KTLH,30.2351,-84.1944
KTBW,27.422,-82.2406
KTWX,38.5949,-96.1357
KEMX,31.5337,-110.3749
KINX,36.103,-95.3353
KVNX,36.4427,-98.074
KVBX,34.5017,-120.2349
KICT,37.3917,-97.2634
KLTX,33.5922,-78.2544
KYUX,32.2943,-114.3924
