,Id,Lat,Lon
1,KABR,45.2721,-98.2447
2,KENX,42.3511,-74.035
3,KABX,35.0859,-106.4926
4,KFDR,34.2144,-98.5835
5,KAMA,35.14,-101.4233
6,PAHG,60.4333,-151.2105
7,PGUA,13.2709,-144.4841
8,KFFC,33.2149,-84.3357
9,KEWX,29.4214,-98.0142
10,KBBX,39.2946,-121.3754
11,PABC,60.4731,-161.5235
12,KBLX,45.5114,-108.3624
13,KBGM,42.1159,-75.5905
14,KBMX,33.102,-86.4611
15,KBIS,46.4615,-100.4538
16,KCBX,43.2926,-116.1408
17,KBOX,41.5721,-71.0813
18,KBRO,25.5458,-97.2508
19,KBUF,42.5656,-78.4412
20,KCXX,44.304,-73.1001
21,RKSG,36.5721,-127.0116
22,KFDX,34.3807,-103.3748
23,KICX,37.3527,-112.5144
24,KCLX,32.392,-81.0232
25,KRLX,38.184,-81.4323
26,KCYS,41.0907,-104.4822
27,KLOT,41.3617,-88.0505
28,KILN,39.2513,-83.4918
29,KCLE,41.2447,-81.5135
30,KCAE,33.5655,-81.0706
31,KGWX,33.5348,-88.1944
32,KCRP,27.4703,-97.304
33,KFWS,32.3423,-97.1811
34,KDVN,41.3642,-90.3451
35,KFTG,39.4712,-104.3245
36,KDMX,41.4352,-93.4322
37,KDTX,42.4159,-83.2818
38,KDDC,37.4539,-99.5808
39,KDOX,38.4932,-75.2623
40,KDLH,46.5013,-92.1235
41,KDYX,32.3218,-99.1516
42,KEYX,35.0552,-117.3339
43,KEVX,30.3352,-85.5517
44,KEPZ,31.5223,-106.4153
45,KLRX,40.4423,-116.481
46,KBHX,40.2954,-124.1731
47,PAPD,65.0206,-147.3006
48,KFSX,34.3428,-111.1152
49,KHPX,36.4412,-87.1706
50,KGRK,30.4319,-97.2259
51,KPOE,31.092,-92.5833
52,KEOX,31.2738,-85.2734
53,KSRX,35.1726,-94.2142
54,KIWX,41.2132,-85.42
55,KAPX,44.5426,-84.4311
56,KGGW,48.1223,-106.373
57,KGLD,39.2201,-101.4201
58,KMVX,47.314,-97.1932
59,KGJX,39.0344,-108.125
60,KGRR,42.5338,-85.3241
61,KTFX,47.2735,-111.2307
62,KGRB,44.2954,-88.0641
63,KGSP,34.53,-82.1312
64,KRMX,43.2804,-75.2728
65,KUEX,40.1915,-98.2631
66,KHDX,33.0435,-106.0722
67,KCBW,46.0221,-67.4823
68,KHGX,29.2819,-95.0445
69,KHTX,34.555,-86.05
70,KIND,39.4227,-86.1649
71,KJKL,37.3527,-83.1847
72,KJAN,32.1904,-90.0448
73,KJAX,30.2905,-81.4207
74,RODN,26.1807,-127.5435
75,PHKN,20.0732,-155.464
76,KEAX,38.4837,-94.1552
77,KBYX,24.3551,-81.4211
